KTS	S	FD	KD	LT
89	241	0	34	34
89	291	0	21	21
89	121	0	62	62
89	280	0	25	25
89	224	0	36	36
89	263	0	29	29
89	237	0	35	35
89	60	0	76	76
89	155	0	52	52
89	118	0	62	62
89	167	0	49	49
90	220	0	38	38
90	297	0	21	21
90	246	0	34	34
90	165	0	50	50
91	292	0	23	23
91	210	0	41	41
91	235	0	37	37
91	175	0	49	49
91	132	0	60	60
91	169	0	51	51
91	172	0	50	50
91	128	0	61	61
92	223	0	39	39
92	186	0	48	48
92	15	0	89	89
92	181	0	49	49
92	228	0	39	39
93	299	0	24	24
93	205	0	45	45
93	227	0	40	40
93	179	0	51	51
93	247	0	37	37
93	189	0	49	49
93	98	0	72	72
93	218	0	41	41
94	212	0	44	44
94	209	0	44	44
94	226	0	41	41
94	187	0	50	50
94	148	0	59	59
95	185	0	51	51
95	195	0	50	50
95	193	0	50	50
95	216	0	43	43
95	198	0	49	49
95	257	0	37	37
95	225	0	42	42
95	252	0	38	38
95	296	0	27	27
95	146	0	60	60
95	293	0	27	27
95	283	0	30	30
96	265	0	36	36
96	281	0	31	31
96	244	0	41	41
96	255	0	38	38
96	298	0	27	27
96	278	0	32	32
96	229	0	43	43
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	231.957			1501.85			1150.53			2589.63			
Game is WiN
Total Enemies = 300
Averge First shoot delay = 0
Avergy kill delay = 37.3367
