KTS	S	FD	KD	LT
92	101	0	69	69
92	218	0	44	44
92	217	0	45	45
92	204	0	47	47
92	119	0	65	65
92	208	0	47	47
92	151	0	58	58
92	198	0	49	49
92	67	0	78	78
92	159	0	56	56
93	296	0	25	25
93	207	0	48	48
93	260	0	35	35
93	235	0	41	41
93	187	0	52	52
93	145	0	61	61
93	104	0	69	69
93	118	0	67	67
93	230	0	42	42
93	163	0	57	57
93	167	0	56	56
93	134	0	63	63
93	277	0	30	30
94	114	0	68	68
94	219	0	46	46
94	211	0	48	48
94	263	0	36	36
94	298	0	26	26
94	257	0	37	37
94	261	0	36	36
94	252	0	38	38
94	153	0	59	59
94	197	0	51	51
94	266	0	35	35
94	229	0	44	44
94	215	0	48	48
95	290	0	28	28
95	225	0	45	45
95	221	0	46	46
95	285	0	30	30
95	270	0	34	34
95	223	0	46	46
95	240	0	42	42
95	173	0	57	57
95	213	0	49	49
95	265	0	36	36
95	200	0	52	52
96	291	0	29	29
96	289	0	29	29
96	267	0	36	36
96	106	0	72	72
96	203	0	51	51
96	176	0	57	57
96	210	0	50	50
96	244	0	42	42
96	192	0	54	54
96	178	0	56	56
96	227	0	46	46
96	92	0	75	75
96	131	0	66	66
96	193	0	53	53
97	209	0	52	52
97	273	0	36	36
97	84	0	79	79
97	99	0	75	75
97	272	0	36	36
97	278	0	34	34
97	249	0	42	42
97	276	0	34	34
97	297	0	29	29
97	160	0	61	61
97	191	0	55	55
97	199	0	54	54
97	34	0	91	91
98	282	0	34	34
98	293	0	31	31
98	294	0	31	31
98	90	0	79	79
98	256	0	41	41
98	275	0	36	36
98	97	0	76	76
98	28	0	93	93
98	121	0	70	70
98	224	0	48	48
98	146	0	65	65
98	182	0	57	57
98	226	0	48	48
98	214	0	52	52
99	269	0	39	39
99	190	0	57	57
99	233	0	48	48
99	246	0	45	45
99	100	0	76	76
99	183	0	58	58
100	238	0	48	48
100	242	0	46	46
100	258	0	43	43
100	196	0	57	57
100	280	0	36	36
100	232	0	49	49
101	283	0	36	36
101	155	0	66	66
101	231	0	50	50
101	248	0	47	47
101	228	0	51	51
101	255	0	44	44
101	253	0	45	45
101	243	0	47	47
101	245	0	47	47
101	241	0	48	48
101	286	0	35	35
101	295	0	33	33
101	201	0	57	57
102	259	0	45	45
102	279	0	38	38
103	300	0	34	34
103	251	0	47	47
104	292	0	37	37
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	1411.75			1788.37			2706.07			200.122			
Game is WiN
Total Enemies = 300
Averge First shoot delay = 0
Avergy kill delay = 42.9933
